,visit_num,tract_id,filter,field_name,image_mjd,field,ra,dec
1463,419790,36,g,Blind15A_25,57090.2281613,25,09:50:28.752,+02:09:46.01
1464,419791,33,g,Blind15A_26,57090.2297045,26,10:00:28.800,+02:12:36.00
1465,419792,34,g,Blind15A_27,57090.231223,27,09:58:48.000,+00:09:00.00
1466,419793,37,g,Blind15A_28,57090.2327932,28,10:00:20.760,-02:05:44.81
1467,419794,38,g,Blind15A_29,57090.2343031,29,09:55:43.560,-04:05:46.68
1468,419795,26,g,Blind15A_30,57090.2358175,30,10:00:20.760,-06:05:48.55
1469,419796,25,g,Blind15A_31,57090.2374246,31,10:09:35.160,-06:05:48.55
1470,419797,27,g,Blind15A_33,57090.2390433,33,10:08:46.394,-02:05:44.81
1471,419798,22,g,Blind15A_34,57090.2405621,34,10:12:28.800,+00:00:00.00
1472,419799,21,g,Blind15A_35,57090.2420904,35,10:09:32.887,+02:05:44.81
1473,419800,20,g,Blind15A_38,57090.2436755,38,10:17:17.839,-02:05:44.81
1474,419801,19,g,Blind15A_39,57090.2451895,39,10:12:22.570,-04:11:29.62
1475,419802,50,g,Blind15A_40,57090.246719,40,10:20:28.800,-06:31:12.00
1476,419803,51,g,Blind15A_41,57090.2483062,41,10:28:47.760,-06:31:12.00
1477,419804,52,g,Blind15A_42,57090.2498126,42,10:21:52.800,-04:57:00.00
1478,419805,53,g,Blind15A_43,57090.2513582,43,10:27:25.440,-02:08:27.52
1479,419806,47,g,Blind15A_45,57090.2529269,45,10:27:25.440,+01:51:36.22
1480,419807,49,g,Blind15A_46,57090.254461,46,10:36:39.840,+01:51:36.22
1481,419808,49,g,Blind15A_47,57090.2559656,47,10:41:31.200,+00:00:00.00
1482,419809,55,g,Blind15A_49,57090.2575391,49,10:31:47.285,-04:11:29.62
1483,419810,45,g,Blind15A_50,57090.2590604,50,10:36:35.527,-06:17:14.42
1484,421525,12,r,Blind15A_01,57095.0696048,1,09:13:31.152,-06:18:04.68
1485,421526,13,r,Blind15A_02,57095.0709446,2,09:08:53.952,-04:18:02.81
1486,421527,14,r,Blind15A_03,57095.0722704,3,09:13:30.840,-02:17:49.30
1487,421528,16,r,Blind15A_05,57095.0736657,5,09:13:31.152,+01:42:02.81
1488,421529,17,r,Blind15A_06,57095.0750295,6,09:22:45.552,+01:42:02.81
1489,421530,18,r,Blind15A_07,57095.0764132,7,09:18:08.352,-00:17:59.06
1490,421531,10,r,Blind15A_08,57095.0778059,8,09:22:45.552,-02:18:00.94
1491,421532,11,r,Blind15A_09,57095.079191,9,09:18:08.352,-04:18:02.81
1492,421533,5,r,Blind15A_10,57095.0805799,10,09:22:45.552,-06:18:04.68
1493,421534,4,r,Blind15A_11,57095.0819301,11,09:31:59.952,-06:18:04.68
1494,421535,3,r,Blind15A_12,57095.0832538,12,09:27:22.752,-04:18:02.81
1495,421536,2,r,Blind15A_13,57095.0845838,13,09:31:59.952,-02:18:00.94
1496,421537,9,r,Blind15A_14,57095.0859134,14,09:27:22.752,-00:17:59.06
1497,421538,8,r,Blind15A_15,57095.0872492,15,09:31:59.952,+01:42:02.81
1498,421539,7,r,Blind15A_16,57095.0885991,16,09:41:14.352,+01:42:02.81
1499,421547,0,r,Blind15A_19,57095.1105714,19,09:36:37.152,-04:18:02.81
1500,421548,31,r,Blind15A_20,57095.1119492,20,09:41:14.352,-06:18:04.68
1501,421549,32,r,Blind15A_21,57095.1133133,21,09:50:28.752,-06:18:04.68
1502,421550,29,r,Blind15A_22,57095.1146459,22,09:45:51.552,-04:18:02.81
1503,421551,36,r,Blind15A_25,57095.1162608,25,09:50:28.752,+02:09:46.01
1504,421552,33,r,Blind15A_26,57095.1176146,26,10:00:28.800,+02:12:36.00
1505,421553,34,r,Blind15A_27,57095.1190015,27,09:58:48.000,+00:09:00.00
1506,421554,37,r,Blind15A_28,57095.1203941,28,10:00:20.760,-02:05:44.81
1507,421555,38,r,Blind15A_29,57095.1217255,29,09:55:43.560,-04:05:46.68
1508,421556,26,r,Blind15A_30,57095.1230619,30,10:00:20.760,-06:05:48.55
1509,421557,25,r,Blind15A_31,57095.1244151,31,10:09:35.160,-06:05:48.55
1510,421558,27,r,Blind15A_33,57095.1258042,33,10:08:46.394,-02:05:44.81
1511,421559,22,r,Blind15A_34,57095.1271428,34,10:12:28.800,+00:00:00.00
1512,421560,21,r,Blind15A_35,57095.1284824,35,10:09:32.887,+02:05:44.81
1513,421561,20,r,Blind15A_38,57095.1298707,38,10:17:17.839,-02:05:44.81
1514,421562,19,r,Blind15A_39,57095.1311972,39,10:12:22.570,-04:11:29.62
1515,421563,50,r,Blind15A_40,57095.1325411,40,10:20:28.800,-06:31:12.00
1516,421564,51,r,Blind15A_41,57095.1338927,41,10:28:47.760,-06:31:12.00
1517,421565,52,r,Blind15A_42,57095.135236,42,10:21:52.800,-04:57:00.00
1518,421566,53,r,Blind15A_43,57095.1365877,43,10:27:25.440,-02:08:27.52
1519,421567,47,r,Blind15A_45,57095.1379678,45,10:27:25.440,+01:51:36.22
1520,421568,49,r,Blind15A_46,57095.1393308,46,10:36:39.840,+01:51:36.22
1521,421569,49,r,Blind15A_47,57095.1406527,47,10:41:31.200,+00:00:00.00
1522,421570,55,r,Blind15A_49,57095.1420388,49,10:31:47.285,-04:11:29.62
1523,421571,45,r,Blind15A_50,57095.1434291,50,10:36:35.527,-06:17:14.42
1524,421572,13,g,Blind15A_02,57095.1453219,2,09:08:53.952,-04:18:02.81
1525,421573,14,g,Blind15A_03,57095.1466512,3,09:13:30.840,-02:17:49.30
1526,421574,16,g,Blind15A_05,57095.1480324,5,09:13:31.152,+01:42:02.81
1527,421575,17,g,Blind15A_06,57095.1494496,6,09:22:45.552,+01:42:02.81
1528,421576,18,g,Blind15A_07,57095.1508398,7,09:18:08.352,-00:17:59.06
1529,421577,10,g,Blind15A_08,57095.1522232,8,09:22:45.552,-02:18:00.94
1530,421578,3,g,Blind15A_12,57095.1536132,12,09:27:22.752,-04:18:02.81
1531,421579,2,g,Blind15A_13,57095.1550035,13,09:31:59.952,-02:18:00.94
1532,421580,9,g,Blind15A_14,57095.1563902,14,09:27:22.752,-00:17:59.06
1533,421581,8,g,Blind15A_15,57095.1577775,15,09:31:59.952,+01:42:02.81
1534,421582,1,g,Blind15A_18,57095.1591687,18,09:41:14.352,-02:18:00.94
1535,421583,0,g,Blind15A_19,57095.1605637,19,09:36:37.152,-04:18:02.81
1536,421584,31,g,Blind15A_20,57095.1619457,20,09:41:14.352,-06:18:04.68
1537,421585,32,g,Blind15A_21,57095.1633081,21,09:50:28.752,-06:18:04.68
1538,421586,29,g,Blind15A_22,57095.1646332,22,09:45:51.552,-04:18:02.81
1539,421587,30,g,Blind15A_23,57095.165967,23,09:50:28.752,-02:18:00.94
1540,421588,35,g,Blind15A_24,57095.1672935,24,09:49:33.312,-00:04:07.46
1541,421589,36,g,Blind15A_25,57095.1686341,25,09:50:28.752,+02:09:46.01
1542,421590,33,g,Blind15A_26,57095.1700511,26,10:00:28.800,+02:12:36.00
1543,421591,34,g,Blind15A_27,57095.1714365,27,09:58:48.000,+00:09:00.00
1544,421592,37,g,Blind15A_28,57095.1728284,28,10:00:20.760,-02:05:44.81
1545,421593,38,g,Blind15A_29,57095.1742132,29,09:55:43.560,-04:05:46.68
1546,421594,26,g,Blind15A_30,57095.1756032,30,10:00:20.760,-06:05:48.55
1547,421595,25,g,Blind15A_31,57095.1769603,31,10:09:35.160,-06:05:48.55
1548,421596,28,g,Blind15A_32,57095.1782937,32,10:04:02.520,-04:05:46.68
1549,421597,27,g,Blind15A_33,57095.1796206,33,10:08:46.394,-02:05:44.81
1550,421598,22,g,Blind15A_34,57095.1809613,34,10:12:28.800,+00:00:00.00
1551,421599,21,g,Blind15A_35,57095.1822979,35,10:09:32.887,+02:05:44.81
1552,421600,24,g,Blind15A_36,57095.1837049,36,10:18:47.287,+02:05:44.81
1553,421601,23,g,Blind15A_37,57095.1850972,37,10:21:33.607,+00:05:42.94
1554,421602,20,g,Blind15A_38,57095.1864834,38,10:17:17.839,-02:05:44.81
1555,421603,19,g,Blind15A_39,57095.1878741,39,10:12:22.570,-04:11:29.62
1556,421604,50,g,Blind15A_40,57095.1892597,40,10:20:28.800,-06:31:12.00
1557,421605,51,g,Blind15A_41,57095.1906423,41,10:28:47.760,-06:31:12.00
1558,421606,52,g,Blind15A_42,57095.1920375,42,10:21:52.800,-04:57:00.00
1559,421607,53,g,Blind15A_43,57095.1934207,43,10:27:25.440,-02:08:27.52
1560,421608,46,g,Blind15A_44,57095.1948204,44,10:32:02.640,-00:08:25.66
1561,421609,47,g,Blind15A_45,57095.1962245,45,10:27:25.440,+01:51:36.22
1562,421610,49,g,Blind15A_46,57095.1975698,46,10:36:39.840,+01:51:36.22
1563,421611,49,g,Blind15A_47,57095.1989013,47,10:41:31.200,+00:00:00.00
1564,421612,54,g,Blind15A_48,57095.200235,48,10:36:40.217,-02:05:44.81
1565,421613,55,g,Blind15A_49,57095.2015731,49,10:31:47.285,-04:11:29.62
1566,421614,45,g,Blind15A_50,57095.2029098,50,10:36:35.527,-06:17:14.42
