# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
1867 2089 0.0 0.0 -28.223 268.521 27.910 0.0
1870 2089 0.0 0.0 124.225 -382.325 27.906 0.0
1867 2106 0.0 0.0 37.421 -356.039 27.905 0.0
1467 1250 0.0 0.0 -28.223 -268.521 27.902 0.0
161 386 0.0 0.0 -372.037 413.189 27.898 0.0
149 399 0.0 0.0 -168.000 290.985 27.893 0.0
1405 2689 0.0 0.0 -266.755 -118.767 27.891 0.0
1866 2107 0.0 0.0 37.421 -356.039 27.890 0.0
1866 2106 0.0 0.0 37.421 -356.039 27.873 0.0
143 304 0.0 0.0 135.000 233.827 27.867 0.0
1869 2085 0.0 0.0 97.031 -298.632 27.859 0.0
1321 1219 0.0 0.0 -35.122 334.159 27.852 0.0
152 398 0.0 0.0 -268.990 298.744 27.850 0.0
1433 1172 0.0 0.0 195.386 216.998 27.845 0.0
1400 2687 0.0 0.0 -246.657 -109.819 27.839 0.0
137 301 0.0 0.0 224.828 249.697 27.832 0.0
1871 2081 0.0 0.0 83.435 -256.785 27.819 0.0
1465 2665 0.0 0.0 28.223 -268.521 27.817 0.0
1435 1173 0.0 0.0 195.386 216.998 27.816 0.0
1189 2880 0.0 0.0 285.619 -60.710 27.810 0.0
1463 2669 0.0 0.0 30.522 -290.400 27.802 0.0
154 398 0.0 0.0 -254.270 282.395 27.799 0.0
162 385 0.0 0.0 -386.757 429.538 27.797 0.0
858 1244 0.0 0.0 -28.223 268.521 27.797 0.0
155 385 0.0 0.0 -245.000 424.353 27.794 0.0
143 303 0.0 0.0 135.000 233.827 27.780 0.0
1869 2087 0.0 0.0 90.233 -277.709 27.777 0.0
139 303 0.0 0.0 195.386 216.998 27.776 0.0
139 299 0.0 0.0 157.000 271.932 27.774 0.0
323 2905 0.0 0.0 28.223 -268.521 27.772 0.0
158 394 0.0 0.0 -313.153 347.792 27.767 0.0
1870 2091 0.0 0.0 144.620 -445.094 27.765 0.0
1870 2090 0.0 0.0 124.225 -382.325 27.763 0.0
150 399 0.0 0.0 -254.270 282.395 27.762 0.0
1185 2881 0.0 0.0 307.138 -65.284 27.760 0.0
949 3665 0.0 0.0 266.755 118.767 27.757 0.0
137 296 0.0 0.0 245.000 424.352 27.742 0.0
683 1233 0.0 0.0 -28.223 -268.521 27.728 0.0
137 295 0.0 0.0 256.000 443.405 27.728 0.0
324 2904 0.0 0.0 28.223 -268.521 27.725 0.0
137 302 0.0 0.0 195.386 216.998 27.724 0.0
189 1871 0.0 0.0 -271.830 -197.496 27.723 0.0
1187 2880 0.0 0.0 285.619 -60.710 27.723 0.0
1184 2882 0.0 0.0 328.658 -69.858 27.718 0.0
148 399 0.0 0.0 -168.000 290.985 27.715 0.0
150 402 0.0 0.0 -210.107 233.348 27.711 0.0
969 732 0.0 0.0 -135.000 233.827 27.710 0.0
1867 2107 0.0 0.0 37.421 -356.039 27.709 0.0
155 386 0.0 0.0 -245.000 424.353 27.707 0.0
1467 1239 0.0 0.0 -28.223 -268.521 27.706 0.0
157 392 0.0 0.0 -298.432 331.443 27.704 0.0
141 299 0.0 0.0 157.000 271.932 27.686 0.0
137 294 0.0 0.0 256.000 443.405 27.683 0.0
148 398 0.0 0.0 -179.000 310.037 27.676 0.0
158 391 0.0 0.0 -313.153 347.792 27.675 0.0
1212 1177 0.0 0.0 -210.107 -233.347 27.649 0.0
1870 2085 0.0 0.0 97.031 -298.632 27.640 0.0
1433 1173 0.0 0.0 180.665 200.649 27.636 0.0
