# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
122 307 0.0 0.0 217.481 299.336 180.856 0.0
127 307 0.0 0.0 185.487 302.687 180.856 0.0
116 308 0.0 0.0 253.285 296.558 180.856 0.0
122 308 0.0 0.0 214.542 295.291 180.856 0.0
117 309 0.0 0.0 246.790 288.954 180.856 0.0
123 309 0.0 0.0 208.664 287.201 180.856 0.0
118 310 0.0 0.0 240.296 281.350 180.856 0.0
112 311 0.0 0.0 275.772 275.772 180.856 0.0
124 311 0.0 0.0 202.786 279.111 180.856 0.0
113 312 0.0 0.0 268.701 268.701 180.856 0.0
125 312 0.0 0.0 196.908 271.021 180.856 0.0
114 313 0.0 0.0 265.165 265.165 180.856 0.0
120 313 0.0 0.0 227.307 266.142 180.856 0.0
126 313 0.0 0.0 191.030 262.931 180.856 0.0
115 314 0.0 0.0 258.094 258.094 180.856 0.0
121 314 0.0 0.0 220.812 258.538 180.856 0.0
116 315 0.0 0.0 251.023 251.023 180.856 0.0
122 315 0.0 0.0 214.318 250.934 180.856 0.0
117 316 0.0 0.0 247.487 247.487 180.856 0.0
123 316 0.0 0.0 211.071 247.132 180.856 0.0
118 317 0.0 0.0 240.416 240.416 180.856 0.0
124 317 0.0 0.0 204.576 239.528 180.856 0.0
119 318 0.0 0.0 233.345 233.345 180.856 0.0
124 318 0.0 0.0 201.329 235.726 180.856 0.0
125 318 0.0 0.0 198.082 231.924 180.856 0.0
114 319 0.0 0.0 266.142 227.307 180.856 0.0
120 319 0.0 0.0 226.274 226.274 180.856 0.0
115 320 0.0 0.0 258.538 220.812 180.856 0.0
121 320 0.0 0.0 222.739 222.739 180.856 0.0
122 321 0.0 0.0 215.668 215.668 180.856 0.0
127 321 0.0 0.0 185.093 216.716 180.856 0.0
117 322 0.0 0.0 247.132 211.071 180.856 0.0
123 322 0.0 0.0 208.597 208.596 180.856 0.0
128 322 0.0 0.0 178.598 209.112 180.856 0.0
112 323 0.0 0.0 279.111 202.786 180.856 0.0
118 323 0.0 0.0 239.528 204.576 180.856 0.0
119 323 0.0 0.0 235.726 201.329 180.856 0.0
124 323 0.0 0.0 201.525 201.525 180.856 0.0
129 323 0.0 0.0 172.104 201.508 180.856 0.0
113 324 0.0 0.0 271.021 196.908 180.856 0.0
119 324 0.0 0.0 231.924 198.082 180.856 0.0
125 324 0.0 0.0 197.990 197.990 180.856 0.0
126 325 0.0 0.0 190.919 190.919 180.856 0.0
122 326 0.0 0.0 216.716 185.093 180.856 0.0
127 326 0.0 0.0 183.848 183.848 180.856 0.0
117 327 0.0 0.0 246.750 179.275 180.856 0.0
123 327 0.0 0.0 209.112 178.598 180.856 0.0
118 328 0.0 0.0 238.660 173.397 180.856 0.0
124 328 0.0 0.0 201.508 172.104 180.856 0.0
113 329 0.0 0.0 272.845 167.200 180.856 0.0
115 330 0.0 0.0 260.055 159.362 180.856 0.0
116 331 0.0 0.0 251.529 154.137 180.856 0.0
123 331 0.0 0.0 210.344 152.824 180.856 0.0
124 332 0.0 0.0 202.254 146.946 180.856 0.0
112 333 0.0 0.0 276.212 140.737 180.856 0.0
121 334 0.0 0.0 221.686 135.850 180.856 0.0
116 335 0.0 0.0 253.937 129.387 180.856 0.0
118 336 0.0 0.0 240.572 122.577 180.856 0.0
116 339 0.0 0.0 254.067 105.238 180.856 0.0
114 342 0.0 0.0 266.296 86.525 180.856 0.0
117 343 0.0 0.0 247.275 80.344 180.856 0.0
115 346 0.0 0.0 257.678 61.863 180.856 0.0
113 349 0.0 0.0 271.614 43.019 180.856 0.0
128 309 0.0 0.0 177.650 289.898 180.798 0.0
119 371 0.0 0.0 235.589 -97.584 180.203 0.0
127 315 0.0 0.0 185.152 254.840 179.765 0.0
128 327 0.0 0.0 180.312 180.312 179.677 0.0
116 356 0.0 0.0 255.000 0.000 179.677 0.0
120 341 0.0 0.0 230.970 95.671 179.642 0.0
118 344 0.0 0.0 242.519 78.799 179.642 0.0
119 344 0.0 0.0 237.764 77.254 179.642 0.0
118 347 0.0 0.0 243.092 58.361 179.642 0.0
117 353 0.0 0.0 249.229 19.615 179.642 0.0
129 328 0.0 0.0 176.777 176.777 179.642 0.0
123 335 0.0 0.0 213.160 130.625 179.642 0.0
117 356 0.0 0.0 250.000 0.000 179.363 0.0
128 308 0.0 0.0 182.875 298.424 179.332 0.0
117 359 0.0 0.0 249.229 -19.615 178.373 0.0
118 365 0.0 0.0 243.092 -58.361 178.373 0.0
118 368 0.0 0.0 242.519 -78.799 178.373 0.0
119 368 0.0 0.0 237.764 -77.254 178.373 0.0
120 371 0.0 0.0 230.970 -95.671 178.373 0.0
132 322 0.0 0.0 152.824 210.344 178.344 0.0
121 374 0.0 0.0 222.752 -113.498 178.171 0.0
119 375 0.0 0.0 236.117 -120.308 178.171 0.0
120 375 0.0 0.0 231.662 -118.038 178.171 0.0
122 377 0.0 0.0 217.423 -133.237 178.171 0.0
118 380 0.0 0.0 243.002 -148.912 178.171 0.0
121 382 0.0 0.0 222.480 -161.641 178.171 0.0
126 382 0.0 0.0 190.101 -162.362 178.171 0.0
125 383 0.0 0.0 197.706 -168.857 178.171 0.0
130 319 0.0 0.0 167.519 230.570 178.144 0.0
157 346 0.0 0.0 -61.863 257.678 177.475 0.0
123 377 0.0 0.0 213.160 -130.625 176.382 0.0
124 380 0.0 0.0 206.299 -149.885 176.382 0.0
123 385 0.0 0.0 212.914 -181.845 176.382 0.0
123 381 0.0 0.0 210.344 -152.824 175.918 0.0
122 386 0.0 0.0 216.716 -185.093 175.918 0.0
127 386 0.0 0.0 183.848 -183.848 175.918 0.0
126 387 0.0 0.0 190.919 -190.919 175.918 0.0
125 388 0.0 0.0 197.990 -197.990 175.918 0.0
133 389 0.0 0.0 146.946 -202.254 175.918 0.0
123 390 0.0 0.0 208.596 -208.597 175.918 0.0
128 390 0.0 0.0 178.598 -209.112 175.918 0.0
132 390 0.0 0.0 152.824 -210.344 175.918 0.0
122 391 0.0 0.0 215.668 -215.668 175.918 0.0
127 391 0.0 0.0 185.093 -216.716 175.918 0.0
121 392 0.0 0.0 222.739 -222.739 175.918 0.0
120 379 0.0 0.0 230.213 -141.075 175.701 0.0
122 382 0.0 0.0 218.435 -158.702 175.701 0.0
120 383 0.0 0.0 230.570 -167.519 175.701 0.0
126 383 0.0 0.0 193.904 -165.609 175.701 0.0
121 387 0.0 0.0 224.320 -191.587 175.701 0.0
130 387 0.0 0.0 165.609 -193.904 175.701 0.0
131 391 0.0 0.0 158.702 -218.435 175.701 0.0
126 392 0.0 0.0 191.587 -224.320 175.701 0.0
130 393 0.0 0.0 167.519 -230.570 175.701 0.0
134 393 0.0 0.0 141.075 -230.213 175.701 0.0
117 308 0.0 0.0 250.038 292.756 174.261 0.0
124 310 0.0 0.0 205.725 283.156 174.261 0.0
119 311 0.0 0.0 237.049 277.548 174.261 0.0
125 311 0.0 0.0 199.847 275.066 174.261 0.0
120 312 0.0 0.0 230.554 269.944 174.261 0.0
121 313 0.0 0.0 224.060 262.340 174.261 0.0
113 318 0.0 0.0 273.746 233.801 174.261 0.0
118 322 0.0 0.0 243.330 207.823 174.261 0.0
121 325 0.0 0.0 224.320 191.587 174.261 0.0
116 326 0.0 0.0 254.840 185.152 174.261 0.0
120 329 0.0 0.0 230.570 167.519 174.261 0.0
122 330 0.0 0.0 218.435 158.702 174.261 0.0
