# x y xv yv likelihood flux
45 39 17.5517 9.58851 33.2611 42.9399
45 39 20.1844 11.0268 33.2611 42.9399
45 39 18.4212 7.78837 33.2611 42.9399
39 32 20 0 33.2555 30.358
23 43 15.2968 12.8844 33.2517 30.3545
42 30 17.5517 9.58851 33.2305 33.2305
46 37 12.4322 15.6665 33.2135 42.8784
43 36 16.0243 16.4992 33.1972 33.1972
38 30 16.0243 16.4992 33.1908 26.2396
42 32 12.4322 15.6665 33.1878 28.0488
42 35 25.486 32.1164 33.1669 42.8183
45 38 12.4322 15.6665 33.1475 37.06
42 35 22.1804 18.6823 33.1458 37.0581
24 42 12.4322 15.6665 33.144 33.144
26 46 21.4587 14.6807 33.1251 42.7643
26 46 18.9827 12.9868 33.1251 42.7643
26 46 17.5914 14.817 33.1251 42.7643
40 32 20.2045 20.8033 33.1045 33.1045
43 38 19.1067 5.9104 33.0985 37.0053
30 4 14.297 18.0165 33.0863 23.3956
19 6 12.4322 15.6665 33.0416 23.3639
21 0 16.5067 11.2928 33.0372 23.3608
23 2 17.5517 9.58851 33.026 23.3529
40 32 22.8851 2.29617 33.0256 33.0256
43 36 14.297 18.0165 33.0246 33.0246
44 31 16.5067 11.2928 33.0107 36.907
0 29 23 0 33.0097 23.3414
23 44 17.5517 9.58851 32.999 30.1239
41 34 14.297 18.0165 32.9711 30.0984
40 32 18.0267 22.7165 32.965 30.0928
41 34 12.4322 15.6665 32.9595 27.8559
41 37 17.5517 9.58851 32.9549 32.9549
6 2 16.1619 20.3665 32.9429 23.2941
40 29 17.5517 9.58851 32.9414 30.0713
30 5 21.4587 14.6807 32.9385 23.291
38 32 15.2968 12.8844 32.9187 26.0245
41 36 15.2968 12.8844 32.915 30.0471
40 34 16.5067 11.2928 32.9141 30.0463
38 30 21.9727 6.79697 32.8946 30.0285
25 44 12.4322 15.6665 32.8725 36.7525
39 29 19.1067 5.9104 32.8373 29.9763
31 5 22.1804 18.6823 32.8299 24.47
6 1 16.1619 20.3665 32.8279 23.2128
41 31 22.5415 4.56939 32.8257 36.7002
42 34 25.486 32.1164 32.8251 42.3771
40 30 27.7048 8.57009 32.824 36.6984
26 45 26.4107 18.0686 32.8217 42.3727
40 30 22.5415 4.56939 32.8208 32.8208
30 5 47 0 32.8193 32.8193
42 31 19.6013 3.97339 32.8131 36.6862
6 1 14.297 18.0165 32.8052 23.1968
5 3 13.9341 14.3471 32.8026 23.1949
24 44 18.9827 12.9868 32.7935 32.7935
42 31 18.4212 7.78837 32.7854 32.7854
44 37 20.2045 20.8033 32.7635 42.2975
